Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
314,314,0,0,00000000210
315,315,0,0,00000000153
316,316,0,0,00000000152
317,317,0,0,00000000153
318,318,0,0,00000000175
319,319,0,0,00000000171
320,320,0,0,00000000177
321,321,0,0,00000000207
322,322,0,0,00000000152
323,323,0,0,00000000154
324,324,0,0,00000000152
325,325,0,0,00000000174
326,326,0,0,00000000172
327,327,0,0,00000000177
328,328,0,0,00000000205
329,329,0,0,00000000144
330,330,0,0,00000000153
331,331,0,0,00000000152
332,332,0,0,00000000173
333,333,0,0,00000000170
334,334,0,0,00000000171
335,335,0,0,00000000205
336,336,0,0,00000000151
337,337,0,0,00000000146
338,338,0,0,00000000153
339,339,0,0,00000000172
340,340,0,0,00000000174
341,341,0,0,00000000171
342,342,0,0,00000000177
343,343,0,0,00000000147
344,344,0,0,00000000153
345,345,0,0,00000000152
346,346,0,0,00000000163
347,347,0,0,00000000177
348,348,0,0,00000000176
349,349,0,0,00000000176
350,350,0,0,00000000140
351,351,0,0,00000000153
352,352,0,0,00000000154
353,353,0,0,00000000166
354,354,0,0,00000000171
355,355,0,0,00000000174
356,356,0,0,00000000204
357,357,0,0,00000000153
358,358,0,0,00000000151
359,359,0,0,00000000161
360,360,0,0,00000000175
361,361,0,0,00000000167
362,362,0,0,00000000172
363,363,0,0,00000000207
364,364,0,0,00000000152
365,365,0,0,00000000153
366,366,0,0,00000000153
367,367,0,0,00000000165
368,368,0,0,00000000171
369,369,0,0,00000000201
370,370,0,0,00000000204
371,371,0,0,00000000150
372,372,0,0,00000000154
373,373,0,0,00000000155
374,374,0,0,00000000171
375,375,0,0,00000000174
376,376,0,0,00000000174
377,377,0,0,00000000203
378,378,0,0,00000000154
379,379,0,0,00000000152
380,380,0,0,00000000155
381,381,0,0,00000000174
382,382,0,0,00000000173
383,383,0,0,00000000203
384,384,0,0,00000000207
385,385,0,0,00000000151
386,386,0,0,00000000154
387,387,0,0,00000000153
388,388,0,0,00000000174
389,389,0,0,00000000174
390,390,0,0,00000000200
391,391,0,0,00000000207
392,392,0,0,00000000153
393,393,0,0,00000000156
394,394,0,0,00000000153
395,395,0,0,00000000175
396,396,0,0,00000000174
397,397,0,0,00000000204
398,398,0,0,00000000213
399,399,0,0,00000000154
400,400,0,0,00000000153
401,401,0,0,00000000164
402,402,0,0,00000000202
403,403,0,0,00000000200
404,404,0,0,00000000202
405,405,0,0,00000000213
406,406,0,0,00000000150
407,407,0,0,00000000153
408,408,0,0,00000000162
409,409,0,0,00000000171
410,410,0,0,00000000177
411,411,0,0,00000000176
412,412,0,0,00000000216
413,413,0,0,00000000147
414,414,0,0,00000000161
415,415,0,0,00000000166
416,416,0,0,00000000166
417,417,0,0,00000000173
418,418,0,0,00000000200
419,419,0,0,00000000205
420,420,0,0,00000000156
421,421,0,0,00000000152
422,422,0,0,00000000166
423,423,0,0,00000000204
424,424,0,0,00000000200
425,425,0,0,00000000203
426,426,0,0,00000000207
427,427,0,0,00000000160
428,428,0,0,00000000160
429,429,0,0,00000000153
430,430,0,0,00000000172
431,431,0,0,00000000176
432,432,0,0,00000000204
433,433,0,0,00000000204
434,434,0,0,00000000154
435,435,0,0,00000000153
436,436,0,0,00000000160
437,437,0,0,00000000176
438,438,0,0,00000000172
439,439,0,0,00000000203
440,440,0,0,00000000203
441,441,0,0,00000000154
442,442,0,0,00000000152
443,443,0,0,00000000162
444,444,0,0,00000000203
445,445,0,0,00000000172
446,446,0,0,00000000203
447,447,0,0,00000000207
448,448,0,0,00000000151
449,449,0,0,00000000153
450,450,0,0,00000000153
451,451,0,0,00000000172
452,452,0,0,00000000175
453,453,0,0,00000000203
454,454,0,0,00000000205
455,455,0,0,00000000152
456,456,0,0,00000000154
457,457,0,0,00000000153
458,458,0,0,00000000172
459,459,0,0,00000000200
460,460,0,0,00000000202
461,461,0,0,00000000212
462,462,0,0,00000000152
463,463,0,0,00000000153
464,464,0,0,00000000161
465,465,0,0,00000000170
466,466,0,0,00000000172
467,467,0,0,00000000203
468,468,0,0,00000000206
469,469,0,0,00000000151
470,470,0,0,00000000152
471,471,0,0,00000000153
472,472,0,0,00000000170
473,473,0,0,00000000172
474,474,0,0,00000000200
475,475,0,0,00000000205
476,476,0,0,00000000152
477,477,0,0,00000000152
478,478,0,0,00000000161
479,479,0,0,00000000170
480,480,0,0,00000000175
481,481,0,0,00000000176
482,482,0,0,00000000210
483,483,0,0,00000000157
484,484,0,0,00000000151
485,485,0,0,00000000157
486,486,0,0,00000000174
487,487,0,0,00000000175
488,488,0,0,00000000176
489,489,0,0,00000000207
490,490,0,0,00000000153
491,491,0,0,00000000152
492,492,0,0,00000000161
