Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ro_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
816,816,0,00000075
817,817,0,00000074
818,818,0,00000074
819,819,0,00000072
820,820,0,00000072
821,821,0,00000078
822,822,0,00000078
823,823,0,00000075
824,824,0,00000075
825,825,0,00000073
826,826,0,00000073
827,827,0,00000074
828,828,0,00000074
829,829,0,00000075
830,830,0,00000075
831,831,0,00000075
832,832,0,00000075
833,833,0,00000077
834,834,0,00000077
835,835,0,00000071
836,836,0,00000071
837,837,0,00000077
838,838,0,00000077
839,839,0,00000071
840,840,0,00000071
841,841,0,00000078
842,842,0,00000078
843,843,0,00000074
844,844,0,00000074
845,845,0,00000077
846,846,0,00000077
847,847,0,00000073
848,848,0,00000073
849,849,0,00000072
850,850,0,00000072
851,851,0,00000077
852,852,0,00000077
853,853,0,00000074
854,854,0,00000074
855,855,0,00000077
856,856,0,00000077
857,857,0,00000072
858,858,0,00000072
859,859,0,00000074
860,860,0,00000074
861,861,0,00000072
862,862,0,00000072
863,863,0,0000007a
864,864,0,0000007a
865,865,0,00000072
866,866,0,00000072
867,867,0,00000074
868,868,0,00000074
869,869,0,00000074
870,870,0,00000074
871,871,0,00000077
872,872,0,00000077
873,873,0,00000072
874,874,0,00000072
875,875,0,00000072
876,876,0,00000072
877,877,0,00000076
878,878,0,00000076
879,879,0,00000078
880,880,0,00000078
881,881,0,00000075
882,882,0,00000075
883,883,0,00000070
884,884,0,00000070
885,885,0,00000077
886,886,0,00000077
887,887,0,00000072
888,888,0,00000072
889,889,0,00000077
890,890,0,00000077
891,891,0,00000073
892,892,0,00000073
893,893,0,00000072
894,894,0,00000072
895,895,0,00000077
896,896,0,00000077
897,897,0,00000071
898,898,0,00000071
899,899,0,00000077
900,900,0,00000077
901,901,0,00000071
902,902,0,00000071
903,903,0,00000077
904,904,0,00000077
905,905,0,00000075
906,906,0,00000075
907,907,0,00000075
908,908,0,00000075
909,909,0,00000073
910,910,0,00000073
911,911,0,00000075
912,912,0,00000075
913,913,0,00000076
914,914,0,00000076
915,915,0,00000071
916,916,0,00000071
917,917,0,00000077
918,918,0,00000077
919,919,0,00000072
920,920,0,00000072
921,921,0,00000077
922,922,0,00000077
923,923,0,00000075
924,924,0,00000075
925,925,0,00000073
926,926,0,00000073
927,927,0,00000076
928,928,0,00000076
929,929,0,00000073
930,930,0,00000073
931,931,0,00000073
932,932,0,00000073
933,933,0,00000074
934,934,0,00000074
935,935,0,00000075
936,936,0,00000075
937,937,0,00000073
938,938,0,00000073
939,939,0,00000072
940,940,0,00000072
941,941,0,00000077
942,942,0,00000077
943,943,0,00000074
944,944,0,00000074
945,945,0,00000076
946,946,0,00000076
947,947,0,00000074
948,948,0,00000074
949,949,0,00000076
950,950,0,00000076
951,951,0,00000072
952,952,0,00000072
